address,chain,promoted_at,last_checked,score,win_rate,winning_sells,total_trades,avg_profit,status,tg_message_id
0x750874e6fb8dca30ce41d445e4baf8c76971f912,ethereum,2026-09-04T18:28:15.567738,2026-09-07T08:40:01.583172,47.28,100.0,1,1,0.71,active,1591
0x69c7bd26512f52bf6f76fab834140d13dda673ca,ethereum,2026-09-05T08:46:11.231881,2026-09-07T08:41:47.792850,53.15,75.0,3,1,36.23,active,1628
0x7dfc9dd51638573a812b39d33eded20df468e7bc,ethereum,2026-09-05T08:46:11.232227,2026-09-07T08:43:40.761340,64.37,100.0,5,1,31.32,active,1665
0x8fbd26a7cb1ab65834c5ea245aa1f1e78d03ed30,ethereum,2026-09-05T08:46:11.232683,2026-09-07T08:44:07.959865,50.06,100.0,2,1,3.88,active,1670
0x69c66beafb06674db41b22cfc50c34a93b8d82a2,ethereum,2026-09-05T08:46:11.233243,2026-09-07T08:44:37.822663,58.04,100.0,4,1,17.54,active,1682
0xc56c9d4aee66e16aa4a31a710a6d2fc720a626b6,ethereum,2026-09-05T08:46:11.233994,2026-09-07T08:46:29.425324,67.54,100.0,7,3,23.2,active,1719
0x52c77b0cb827afbad022e6d6caf2c44452edbc39,ethereum,2026-09-07T00:16:29.106806,2026-09-07T08:48:20.050857,49.25,75.0,3,1,24.88,active,1754
